created_at,ticker,station,probability,fair_yes_cents,best_yes_bid_cents,best_yes_ask_cents,spread_cents,limit_price_cents,requested_quantity,filled_quantity,average_price_cents,risk_allowed,risk_reasons,outcome,brier_score,resolved_at,forecast_max_f,adjusted_mean_f,sigma_f,forecast_age_minutes,metar_age_minutes,threshold_f,comparison,upper_f
2026-05-25T02:28:51.018261+00:00,KXHIGHLAX-26MAY25-T70,KLAX,0.07656372550983481,8,3,4,1,4,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,65.0,65.0,3.5,,,,,
2026-05-25T02:28:51.079225+00:00,KXHIGHLAX-26MAY25-T63,KLAX,0.2838545830986763,28,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,3.5,,,,,
2026-05-25T02:28:51.142941+00:00,KXHIGHLAX-26MAY24-T69,KLAX,0.15149102620084143,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,2.0,,,,,
2026-05-25T02:28:51.204846+00:00,KXHIGHLAX-26MAY24-T62,KLAX,0.18366356079539425,18,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,2.0,,,,,
2026-05-25T02:29:22.065882+00:00,KXHIGHNY-26MAY25-T79,KNYC,0.01,1,,1,,1,0,0,,0,"[""edge_below_threshold"", ""spread_too_wide""]",,,,70.0,70.0,3.5,,,,,
2026-05-25T02:29:22.131208+00:00,KXHIGHNY-26MAY25-T72,KNYC,0.7161454169013237,72,43,45,2,45,0,0,,0,"[""existing_paper_position""]",1,0.08057342434612332,2026-05-25T02:34:04.023819+00:00,70.0,70.0,3.5,,,,,
2026-05-25T02:29:22.192002+00:00,KXHIGHNY-26MAY24-T67,KNYC,0.7973298821858155,80,,1,,1,0,0,,0,"[""spread_too_wide""]",,,,70.0,70.0,2.0,,,,,
2026-05-25T02:29:22.247621+00:00,KXHIGHNY-26MAY24-T60,KNYC,0.15681608126560406,16,98,,,0,0,0,,0,"[""missing_executable_ask""]",,,,70.0,70.0,2.0,,,,,
2026-05-25T02:29:22.399124+00:00,KXHIGHCHI-26MAY25-T89,KORD,0.02275013194817943,2,1,2,1,2,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,82.0,82.00000000000001,3.5,,,,,
2026-05-25T02:29:22.461761+00:00,KXHIGHCHI-26MAY25-T82,KORD,0.4999999999999984,50,15,16,1,16,0,0,,0,"[""stale_data""]",,,,82.0,82.00000000000001,3.5,,,,,
2026-05-25T02:29:22.526103+00:00,KXHIGHCHI-26MAY24-T79,KORD,0.8036466890178391,80,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,,,,,
2026-05-25T02:29:22.589276+00:00,KXHIGHCHI-26MAY24-T72,KORD,0.14952510084543272,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,,,,,
2026-05-25T02:29:22.766417+00:00,KXHIGHDEN-26MAY25-T87,KDEN,0.2838545830986763,28,2,3,1,3,0,0,,0,"[""stale_data""]",,,,85.0,85.0,3.5,,,,,
2026-05-25T02:29:22.828745+00:00,KXHIGHDEN-26MAY25-T80,KDEN,0.07656372550983487,8,1,2,1,2,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,85.0,85.0,3.5,,,,,
2026-05-25T02:29:22.888525+00:00,KXHIGHDEN-26MAY24-T86,KDEN,0.3630024206946929,36,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,85.0,85.0,2.0,,,,,
2026-05-25T02:29:22.951205+00:00,KXHIGHDEN-26MAY24-T79,KDEN,0.14319986115644187,14,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,85.0,85.0,2.0,,,,,
2026-05-25T02:29:23.099063+00:00,KXHIGHLAX-26MAY25-T70,KLAX,0.07656372550983481,8,3,4,1,4,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,65.0,65.0,3.5,,,,,
2026-05-25T02:29:23.160025+00:00,KXHIGHLAX-26MAY25-T63,KLAX,0.2838545830986763,28,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,3.5,,,,,
2026-05-25T02:29:23.236089+00:00,KXHIGHLAX-26MAY24-T69,KLAX,0.151553069366973,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,2.0,,,,,
2026-05-25T02:29:23.294775+00:00,KXHIGHLAX-26MAY24-T62,KLAX,0.18371987156766245,18,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,65.0,65.0,2.0,,,,,
2026-05-25T02:51:12.109658+00:00,KXHIGHNY-26MAY25-T79,KNYC,0.01,1,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,70.0,70.0,3.5,,,,,
2026-05-25T02:51:12.174514+00:00,KXHIGHNY-26MAY25-T72,KNYC,0.7161454169013237,72,42,46,4,46,0,0,,0,"[""existing_paper_position""]",1,0.08057342434612332,2026-05-25T02:34:04.023819+00:00,70.0,70.0,3.5,,,,,
2026-05-25T02:51:12.241450+00:00,KXHIGHNY-26MAY24-T67,KNYC,0.7950309670499656,80,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,70.0,70.0,2.0,,,,,
2026-05-25T02:51:12.297485+00:00,KXHIGHNY-26MAY24-T60,KNYC,0.15946953559303845,16,98,,,0,0,0,,0,"[""missing_executable_ask""]",,,,70.0,70.0,2.0,,,,,
2026-05-25T02:51:12.485066+00:00,KXHIGHCHI-26MAY25-T89,KORD,0.02275013194817943,2,1,2,1,2,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,82.0,82.00000000000001,3.5,,,,,
2026-05-25T02:51:12.548145+00:00,KXHIGHCHI-26MAY25-T82,KORD,0.4999999999999984,50,13,14,1,14,0,0,,0,"[""stale_data""]",,,,82.0,82.00000000000001,3.5,,,,,
2026-05-25T02:51:12.616351+00:00,KXHIGHCHI-26MAY24-T79,KORD,0.8013477035553443,80,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,,,,,
2026-05-25T02:51:12.678819+00:00,KXHIGHCHI-26MAY24-T72,KORD,0.15217863614880445,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,82.0,82.00000000000001,2.0,,,,,
2026-05-25T02:51:12.959520+00:00,KXHIGHDEN-26MAY25-T87,KDEN,0.2838545830986763,28,2,3,1,3,0,0,,0,"[""stale_data""]",,,,85.0,85.0,3.5,,,,,
2026-05-25T02:51:13.024598+00:00,KXHIGHDEN-26MAY25-T80,KDEN,0.07656372550983487,8,1,2,1,2,0,0,,0,"[""edge_below_threshold"", ""stale_data""]",,,,85.0,85.0,3.5,,,,,
2026-05-25T02:51:13.088002+00:00,KXHIGHDEN-26MAY24-T86,KDEN,0.36401861173892075,36,,1,,1,0,0,,0,"[""stale_data"", ""spread_too_wide""]",,,,85.0,85.0,2.0,,,,,
2026-05-25T02:51:13.145952+00:00,KXHIGHDEN-26MAY24-T79,KDEN,0.14584645179894223,15,,1,,1,0,0,,0,"[""edge_below_threshold"", ""stale_data"", ""spread_too_wide""]",,,,85.0,85.0,2.0,,,,,
